constructorId,driverId,driverNumber,engineManufacturerId,gap,interval,lap,position,race,time,tyreManufacturerId,year
ferrari,fernando-alonso,14,ferrari,+0.640,+0.324,57,3,10-germany,1:20.548,pirelli,2014
force-india,sergio-perez,11,mercedes,+0.844,+0.204,54,4,10-germany,1:20.752,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.938,+0.094,53,5,10-germany,1:20.846,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+1.390,+0.452,67,6,10-germany,1:21.298,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+1.430,+0.040,55,7,10-germany,1:21.338,pirelli,2014
mclaren,jenson-button,22,mercedes,+1.438,+0.008,64,8,10-germany,1:21.346,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1.586,+0.148,45,9,10-germany,1:21.494,pirelli,2014
red-bull,sebastian-vettel,1,renault,+1.637,+0.051,39,10,10-germany,1:21.545,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1.968,+0.331,58,11,10-germany,1:21.876,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+2.100,+0.132,61,12,10-germany,1:22.008,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.190,+0.090,44,13,10-germany,1:22.098,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+2.271,+0.081,34,14,10-germany,1:22.179,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+2.397,+0.126,41,15,10-germany,1:22.305,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.614,+0.217,57,16,10-germany,1:22.522,pirelli,2014
sauber,adrian-sutil,99,ferrari,+2.621,+0.007,41,17,10-germany,1:22.529,pirelli,2014
caterham,kamui-kobayashi,10,renault,+2.958,+0.337,50,18,10-germany,1:22.866,pirelli,2014
marussia,max-chilton,4,ferrari,+3.127,+0.169,50,19,10-germany,1:23.035,pirelli,2014
caterham,marcus-ericsson,9,renault,+3.322,+0.195,49,20,10-germany,1:23.230,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+4.229,+0.907,26,21,10-germany,1:24.137,pirelli,2014
mercedes,nico-rosberg,6,mercedes,,,64,1,11-hungary,1:25.724,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.884,+0.884,58,2,11-hungary,1:26.608,pirelli,2014
williams,valtteri-bottas,77,mercedes,+1.126,+0.242,63,3,11-hungary,1:26.850,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+1.656,+0.530,36,4,11-hungary,1:27.380,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.695,+0.039,40,5,11-hungary,1:27.419,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+2.259,+0.564,47,6,11-hungary,1:27.983,pirelli,2014
williams,felipe-massa,19,mercedes,+2.505,+0.246,51,7,11-hungary,1:28.229,pirelli,2014
sauber,adrian-sutil,99,ferrari,+2.980,+0.475,41,8,11-hungary,1:28.704,pirelli,2014
red-bull,sebastian-vettel,1,renault,+3.022,+0.042,52,9,11-hungary,1:28.746,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+3.159,+0.137,41,10,11-hungary,1:28.883,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+3.396,+0.237,31,11,11-hungary,1:29.120,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+3.404,+0.008,45,12,11-hungary,1:29.128,pirelli,2014
mclaren,jenson-button,22,mercedes,+3.432,+0.028,50,13,11-hungary,1:29.156,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+3.677,+0.245,51,14,11-hungary,1:29.401,pirelli,2014
marussia,max-chilton,4,ferrari,+3.775,+0.098,47,15,11-hungary,1:29.499,pirelli,2014
marussia,jules-bianchi,17,ferrari,+4.159,+0.384,49,16,11-hungary,1:29.883,pirelli,2014
force-india,sergio-perez,11,mercedes,+4.556,+0.397,21,17,11-hungary,1:30.280,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+4.761,+0.205,29,18,11-hungary,1:30.485,pirelli,2014
caterham,kamui-kobayashi,10,renault,+7.164,+2.403,21,19,11-hungary,1:32.888,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+15.427,+8.263,14,20,11-hungary,1:41.151,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+20.588,+5.161,7,21,11-hungary,1:46.312,pirelli,2014
caterham,marcus-ericsson,9,renault,+22.735,+2.147,6,22,11-hungary,1:48.459,pirelli,2014
mercedes,nico-rosberg,6,mercedes,,,36,1,12-belgium,1:50.511,pirelli,2014
sauber,adrian-sutil,99,ferrari,+1.902,+1.902,36,2,12-belgium,1:52.413,pirelli,2014
williams,felipe-massa,19,mercedes,+2.001,+0.099,37,3,12-belgium,1:52.512,pirelli,2014
williams,valtteri-bottas,77,mercedes,+2.205,+0.204,40,4,12-belgium,1:52.716,pirelli,2014
red-bull,sebastian-vettel,1,renault,+2.442,+0.237,36,5,12-belgium,1:52.953,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+2.463,+0.021,44,6,12-belgium,1:52.974,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+2.765,+0.302,31,7,12-belgium,1:53.276,pirelli,2014
mclaren,jenson-button,22,mercedes,+2.972,+0.207,38,8,12-belgium,1:53.483,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+3.101,+0.129,40,9,12-belgium,1:53.612,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,+3.196,+0.095,33,10,12-belgium,1:53.707,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+3.368,+0.172,29,11,12-belgium,1:53.879,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+3.489,+0.121,32,12,12-belgium,1:54.000,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+3.579,+0.090,39,13,12-belgium,1:54.090,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+3.648,+0.069,26,14,12-belgium,1:54.159,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+3.692,+0.044,28,15,12-belgium,1:54.203,pirelli,2014
force-india,sergio-perez,11,mercedes,+4.021,+0.329,28,16,12-belgium,1:54.532,pirelli,2014
marussia,max-chilton,4,ferrari,+4.736,+0.715,31,17,12-belgium,1:55.247,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+5.138,+0.402,21,18,12-belgium,1:55.649,pirelli,2014
caterham,marcus-ericsson,9,renault,+5.389,+0.251,26,19,12-belgium,1:55.900,pirelli,2014
marussia,jules-bianchi,17,ferrari,+5.836,+0.447,32,20,12-belgium,1:56.347,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,29,1,13-italy,1:28.004,pirelli,2014
mercedes,nico-rosberg,6,mercedes,+0.202,+0.202,51,2,13-italy,1:28.206,pirelli,2014
williams,felipe-massa,19,mercedes,+0.338,+0.136,46,3,13-italy,1:28.342,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+0.482,+0.144,51,4,13-italy,1:28.486,pirelli,2014
williams,valtteri-bottas,77,mercedes,+0.555,+0.073,50,5,13-italy,1:28.559,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+0.584,+0.029,53,6,13-italy,1:28.588,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+0.938,+0.354,43,7,13-italy,1:28.942,pirelli,2014
force-india,sergio-perez,11,mercedes,+1.103,+0.165,35,8,13-italy,1:29.107,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1.117,+0.014,39,9,13-italy,1:29.121,pirelli,2014
red-bull,sebastian-vettel,1,renault,+1.137,+0.020,34,10,13-italy,1:29.141,pirelli,2014
mclaren,jenson-button,22,mercedes,+1.241,+0.104,35,11,13-italy,1:29.245,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1.279,+0.038,34,12,13-italy,1:29.283,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+1.362,+0.083,35,13,13-italy,1:29.366,pirelli,2014
sauber,adrian-sutil,99,ferrari,+1.371,+0.009,46,14,13-italy,1:29.375,pirelli,2014
sauber,esteban-gutierrez,21,ferrari,+1.445,+0.074,40,15,13-italy,1:29.449,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.676,+0.231,23,16,13-italy,1:29.680,pirelli,2014
lotus-f1,pastor-maldonado,13,renault,+1.852,+0.176,32,17,13-italy,1:29.856,pirelli,2014
lotus-f1,romain-grosjean,8,renault,+2.079,+0.227,38,18,13-italy,1:30.083,pirelli,2014
caterham,marcus-ericsson,9,renault,+2.276,+0.197,47,19,13-italy,1:30.280,pirelli,2014
marussia,jules-bianchi,17,ferrari,+2.517,+0.241,51,20,13-italy,1:30.521,pirelli,2014
caterham,kamui-kobayashi,10,renault,+2.754,+0.237,35,21,13-italy,1:30.758,pirelli,2014
marussia,max-chilton,4,ferrari,+4.565,+1.811,5,22,13-italy,1:32.569,pirelli,2014
mercedes,lewis-hamilton,44,mercedes,,,39,1,14-singapore,1:50.417,pirelli,2014
mclaren,kevin-magnussen,20,mercedes,+1.222,+1.222,48,2,14-singapore,1:51.639,pirelli,2014
toro-rosso,daniil-kvyat,26,renault,+1.344,+0.122,45,3,14-singapore,1:51.761,pirelli,2014
toro-rosso,jean-eric-vergne,25,renault,+1.520,+0.176,48,4,14-singapore,1:51.937,pirelli,2014
force-india,sergio-perez,11,mercedes,+1.590,+0.070,46,5,14-singapore,1:52.007,pirelli,2014
ferrari,fernando-alonso,14,ferrari,+1.698,+0.108,27,6,14-singapore,1:52.115,pirelli,2014
williams,valtteri-bottas,77,mercedes,+2.098,+0.400,25,7,14-singapore,1:52.515,pirelli,2014
red-bull,sebastian-vettel,1,renault,+2.102,+0.004,27,8,14-singapore,1:52.519,pirelli,2014
red-bull,daniel-ricciardo,3,renault,+2.152,+0.050,30,9,14-singapore,1:52.569,pirelli,2014
force-india,nico-hulkenberg,27,mercedes,+2.345,+0.193,27,10,14-singapore,1:52.762,pirelli,2014
ferrari,kimi-raikkonen,7,ferrari,+2.455,+0.110,28,11,14-singapore,1:52.872,pirelli,2014
